"nam","gender","year","tot","name_rank"
"Mary","F",1927,70641,"1"
"Linda","F",1927,516,"295"
"Mary","F",1928,66870,"1"
"Linda","F",1928,555,"277"
"Mary","F",1929,63512,"1"
"Linda","F",1929,509,"289"
"Mary","F",1930,64152,"1"
"Linda","F",1930,492,"299"
"Mary","F",1931,60297,"1"
"Linda","F",1931,535,"269"
"Mary","F",1932,59879,"1"
"Linda","F",1932,774,"219"
"Mary","F",1933,55518,"1"
"Linda","F",1933,782,"216"
"Mary","F",1934,56933,"1"
"Linda","F",1934,1000,"182"
"Mary","F",1935,55073,"1"
"Linda","F",1935,1197,"165"
"Mary","F",1936,54374,"1"
"Linda","F",1936,2440,"97"
"Mary","F",1937,55643,"1"
"Linda","F",1937,4378,"49"
"Mary","F",1938,56216,"1"
"Linda","F",1938,7047,"31"
"Mary","F",1939,54902,"1"
"Linda","F",1939,10713,"15"
"Mary","F",1940,56213,"1"
"Linda","F",1940,18368,"8"
"Mary","F",1941,58045,"1"
"Linda","F",1941,23722,"5"
"Mary","F",1942,63254,"1"
"Linda","F",1942,31611,"4"
"Mary","F",1943,66179,"1"
"Linda","F",1943,38442,"4"
"Mary","F",1944,62470,"1"
"Linda","F",1944,38413,"3"
"Mary","F",1945,59280,"1"
"Linda","F",1945,41462,"2"
"Mary","F",1946,67470,"1"
"Linda","F",1946,52710,"2"
"Linda","F",1947,99693,"1"
"Mary","F",1947,71685,"2"
"Linda","F",1948,96215,"1"
"Mary","F",1948,68600,"2"
"Linda","F",1949,91017,"1"
"Mary","F",1949,66870,"2"
"Linda","F",1950,80431,"1"
"Mary","F",1950,65481,"2"
"Linda","F",1951,73981,"1"
"Mary","F",1951,65723,"2"
"Linda","F",1952,67080,"1"
"Mary","F",1952,65627,"2"
"Mary","F",1953,64388,"1"
"Linda","F",1953,61281,"2"
"Mary","F",1954,68022,"1"
"Linda","F",1954,55373,"2"
"Mary","F",1955,63173,"1"
"Linda","F",1955,51300,"3"
"Mary","F",1956,61743,"1"
"Linda","F",1956,48080,"3"
"Mary","F",1957,61106,"1"
"Linda","F",1957,44512,"3"
"Mary","F",1958,55846,"1"
"Linda","F",1958,41901,"3"
"Mary","F",1959,54492,"1"
"Linda","F",1959,40409,"3"
"Mary","F",1960,51481,"1"
"Linda","F",1960,37317,"3"
"Mary","F",1961,47677,"1"
"Linda","F",1961,35580,"4"
"Mary","F",1962,43495,"2"
"Linda","F",1962,31467,"5"
"Mary","F",1963,41550,"2"
"Linda","F",1963,27723,"5"
"Mary","F",1964,40982,"2"
"Linda","F",1964,23630,"8"
"Mary","F",1965,34271,"2"
"Linda","F",1965,19340,"8"
"Mary","F",1966,28886,"3"
"Linda","F",1966,15564,"18"
"Mary","F",1967,25320,"4"
"Linda","F",1967,13196,"26"
"Mary","F",1968,21720,"6"
"Linda","F",1968,11370,"28"
"Mary","F",1969,19853,"8"
"Linda","F",1969,10245,"33"
"Mary","F",1970,19201,"9"
"Linda","F",1970,8729,"38"
"Mary","F",1971,16700,"9"
"Linda","F",1971,7375,"42"
"Mary","F",1972,13759,"13"
"Linda","F",1972,5744,"51"
"Mary","F",1973,12313,"14"
"Linda","F",1973,4731,"61"
"Mary","F",1974,11742,"13"
"Linda","F",1974,4078,"75"
"Mary","F",1975,10968,"19"
"Linda","F",1975,3524,"81"
"Mary","F",1976,10319,"22"
"Linda","F",1976,3139,"90"
"Mary","F",1977,10655,"21"
"Linda","F",1977,2910,"99"
"Mary","F",1978,10041,"24"
"Linda","F",1978,2932,"100"
"Mary","F",1979,10562,"24"
"Linda","F",1979,2740,"114"
"Mary","F",1980,11476,"25"
"Linda","F",1980,2804,"110"
"Mary","F",1981,11044,"27"
"Linda","F",1981,2729,"111"
"Mary","F",1982,10853,"30"
"Linda","F",1982,2791,"107"
"Mary","F",1983,9895,"32"
"Linda","F",1983,2476,"119"
"Mary","F",1984,9293,"33"
"Linda","F",1984,2334,"119"
"Mary","F",1985,9241,"35"
"Linda","F",1985,2114,"137"
"Mary","F",1986,8507,"37"
"Linda","F",1986,1950,"148"
"Mary","F",1987,8394,"37"
"Linda","F",1987,1930,"142"
"Mary","F",1988,8512,"34"
"Linda","F",1988,1845,"155"
"Mary","F",1989,8645,"38"
"Linda","F",1989,1845,"157"
"Mary","F",1990,8670,"35"
"Linda","F",1990,1660,"175"
"Mary","F",1991,8761,"38"
"Linda","F",1991,1608,"187"
"Mary","F",1992,8462,"36"
"Linda","F",1992,1582,"191"
"Mary","F",1993,8122,"36"
"Linda","F",1993,1488,"198"
"Mary","F",1994,7754,"37"
"Linda","F",1994,1284,"221"
"Mary","F",1995,7457,"40"
"Linda","F",1995,1233,"231"
"Mary","F",1996,6966,"44"
"Linda","F",1996,987,"293"
"Mary","F",1997,6649,"46"
"Linda","F",1997,1099,"263"
"Mary","F",1998,6470,"44"
"Linda","F",1998,972,"312"
"Mary","F",1999,6387,"45"
"Linda","F",1999,900,"336"
"Mary","F",2000,6215,"46"
"Linda","F",2000,851,"357"
"Mary","F",2001,5752,"48"
"Linda","F",2001,839,"354"
"Mary","F",2002,5479,"49"
"Linda","F",2002,771,"383"
"Mary","F",2003,5032,"59"
"Linda","F",2003,741,"409"
"Mary","F",2004,4824,"62"
"Linda","F",2004,729,"419"
"Mary","F",2005,4473,"72"
"Linda","F",2005,753,"415"
"Mary","F",2006,4102,"80"
"Linda","F",2006,700,"451"
"Mary","F",2007,3689,"93"
"Linda","F",2007,662,"492"
"Mary","F",2008,3505,"96"
"Linda","F",2008,614,"507"
"Mary","F",2009,3169,"102"
"Linda","F",2009,551,"554"
"Mary","F",2010,2879,"108"
"Linda","F",2010,479,"615"
"Mary","F",2011,2713,"112"
"Linda","F",2011,489,"590"
"Mary","F",2012,2582,"121"
"Linda","F",2012,450,"633"
"Mary","F",2013,2667,"118"
"Linda","F",2013,445,"631"
"Mary","F",2014,2635,"120"
"Linda","F",2014,473,"613"
"Mary","F",2015,2638,"123"
"Linda","F",2015,429,"664"
"Mary","F",2016,2525,"126"
"Linda","F",2016,441,"665"
"Mary","F",2017,2420,"126"
"Linda","F",2017,409,"704"
"Mary","F",2018,2359,"126"
"Linda","F",2018,395,"720"
"Mary","F",2019,2235,"126"
"Linda","F",2019,360,"770"
"Mary","F",2020,2220,"123"
"Linda","F",2020,333,"816"
"Mary","F",2021,2095,"132"
"Linda","F",2021,326,"845"
"Mary","F",2022,2097,"136"
"Linda","F",2022,346,"805"
